,count,mean,std,min,25%,50%,75%,max,IQR,skew
G_per_game,109.0,33.740091743119265,4.4542839336840245,11.0,32.5,34.5,36.0,41.0,3.5,-2.367223684539021
GS_per_game,109.0,28.218807339449544,8.90811975887528,0.0,23.5,31.0,35.0,41.0,11.5,-1.2481300596890812
MP_per_game,109.0,28.905412844036697,4.622456163706591,10.1,26.5,29.78,32.2,37.6,5.700000000000003,-0.9709713086092929
FG_college,109.0,4.790917431192661,1.1461566544118649,1.3,3.93,4.9,5.4,7.93,1.4700000000000002,0.08003894164064507
FGA_college,109.0,9.998807339449542,2.6261966319328156,2.8,8.1,10.02,11.6,18.0,3.5,0.3254899629345919
FG%_college,109.0,0.48256880733944957,0.05748435648270804,0.39,0.44,0.47,0.52,0.66,0.08000000000000002,0.7415536301122552
3P_college,109.0,1.0134862385321102,0.7505175697437426,0.0,0.35,1.03,1.6,2.9,1.25,0.2721331148638308
3PA_college,109.0,2.816055045871559,1.9518419687607835,0.0,1.1,2.85,4.3,7.2,3.1999999999999997,0.1950296892816825
3P%_college,107.0,0.3137383177570094,0.11863630298446858,0.0,0.29,0.35,0.38,0.6,0.09000000000000002,-1.3240765288191427
2P_college,109.0,3.7790825688073397,1.151675543690184,0.7,3.0,3.6,4.6,6.7,1.5999999999999996,0.2573866795758884
2PA_college,109.0,7.186605504587156,2.0866587771343066,1.2,5.7,7.0,8.5,12.5,2.8,0.2322754424797584
2P%_college,109.0,0.5245871559633027,0.0538436025652717,0.4,0.49,0.52,0.56,0.66,0.07000000000000006,0.3630741683459956
eFG%_college,109.0,0.5313761467889908,0.04475174091188988,0.43,0.5,0.53,0.56,0.66,0.06000000000000005,0.5402873380121901
FT_college,109.0,3.0593577981651383,1.2886005007079335,0.0,2.1,2.87,3.65,6.6,1.5499999999999998,0.7154494171828374
FTA_college,109.0,4.156880733944955,1.5241455999076907,0.3,3.18,3.9,5.0,7.9,1.8199999999999998,0.46162093425930234
FT%_college,109.0,0.7172477064220184,0.12182920314957808,0.0,0.68,0.74,0.8,0.9,0.12,-2.4723725978297453
ORB_college,109.0,1.7091743119266054,0.948975205975496,0.4,1.0,1.6,2.4,5.7,1.4,0.832038560882977
DRB_college,109.0,4.16,1.3470262171277994,1.0,3.2,4.1,4.9,8.8,1.7000000000000002,0.6031964356900592
TRB_college,109.0,5.867889908256881,2.153433551759064,1.6,4.35,5.85,7.3,14.5,2.95,0.7091094100821235
AST_college,109.0,2.181926605504587,1.3758630133848386,0.3,1.27,1.83,2.83,6.1,1.56,1.1368038019782898
