feature,VIF
WS_nba,20470.581123478176
OWS_nba,12145.4536017384
DWS_nba,2652.3525848884733
PER_nba,23.28169570896014
OBPM_nba,22.432175253240523
VORP,20.27485341690993
WS/48,18.1603552112007
BPM_nba,17.26463941210374
FG%_nba,10.48923431264381
TS%_nba,7.301078797392968
MP,7.12121486841015
FTA_nba,5.916060765164953
