,0
BPM_nba,0.9633670875543381
VORP,0.8120116286703383
WS_nba,0.8051197364874496
OBPM_nba,0.7640378817149833
OWS_nba,0.6020457134566584
WS/48,0.5345002634651121
PER_nba,0.4833657161881688
DWS_nba,0.35591109335402704
FG%_nba,0.2829331348847157
FTA_nba,0.2809831222288546
TS%_nba,0.27123896379279877
MP,0.2317763793816403
eFG%_nba,0.22578314735600102
DRB_nba,0.2198509958550816
PTS_nba,0.20247790032220392
2P_nba,0.19566433865569977
TRB_nba,0.19015704403051314
FT_nba,0.18444718382373582
2PA_nba,0.1814381572891004
STL_nba,0.181335531867576
GP,0.17864028816272493
PF_nba,0.1748253158444828
GS,0.1696561855302674
2P%_nba,0.16618313222483128
BMI,0.16152047992968566
FG_nba,0.16104204786396226
DRB_college,0.1421879984585841
3PAr_nba,0.13385872251743303
WS/40,0.13131350275708087
ORB_nba,0.11853233766082338
TOV%_nba,0.11597477677331014
FGA_nba,0.1136622810358432
AST_nba,0.11271539944284559
TOV_nba,0.10714096175298682
FTA_college,0.10695062073969863
G_per_game,0.10344641027437529
TRB%_nba,0.09734647232468285
DBPM_college,0.09201174645401711
BLK_nba,0.08780035620788373
ORB%_college,0.08507009095607021
DBPM_nba,0.0756966916116455
3P_nba,0.07332220672635481
WNGSPN,0.06940658779125197
TOV_college,0.0689009276675705
PER_college,0.0649263185616209
WGT,0.05434905236162901
FGA_college,0.05414174875428923
DRB%_nba,0.053975737091638276
TRB%_college,0.05296702580666146
3PA_nba,0.049524537787237755
FTr_nba,0.04524400703707876
AST%_nba,0.041523692303464976
USG%_college,0.03911449263656497
PTS_college,0.03908569456854005
BLK%_nba,0.0316436364516921
FG_college,0.030507863719080763
FTr_college,0.0290960194779748
3P%_nba,0.02711216906767655
FT_college,0.025943760684913553
2PA_college,0.024619519187413452
BPM_college,0.024106470226583188
DRB%_college,0.023459042000319563
PF_college,0.020254332140247744
TRB_college,0.020056356215880644
STL_college,0.017461810662817268
HANDL,0.011310704620350887
3P%_college,0.010984710672545361
HANDW,0.010959067320454707
STL%_college,0.009182254425411873
USG%_nba,1.993547415768404e-05
FG%_college,0.0
3PA_college,0.0
2P_college,0.0
MP_per_game,0.0
GS_per_game,0.0
OBPM_college,0.0
WS_college,0.0
DWS_college,0.0
OWS_college,0.0
BLK%_college,0.0
TOV%_college,0.0
PProd,0.0
AST%_college,0.0
3PAr_college,0.0
ORB_college,0.0
eFG%_college,0.0
2P%_college,0.0
FT%_college,0.0
AST_college,0.0
BLK_college,0.0
TS%_college,0.0
3P_college,0.0
PBHGT,0.0
STL%_nba,0.0
ORB%_nba,0.0
PDHGT,0.0
SHUTTLE,0.0
PAN,0.0
HGT,0.0
STNDRCH,0.0
BF,0.0
STNDVERT,0.0
LPVERT,0.0
LANE,0.0
BENCH,0.0
SPRINT,0.0
FT%_nba,0.0
