Player,POS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Label
Brandon Rush,SG-SF,8.66,0.51,0.46,0.16,1.69,11.82,6.8,7.44,0.88,1.78,13.82,14.67,0.34,0.89,1.24,0.03,-2.11,-0.18,-2.27,0.18,53,18,19.48,2.3,5.26,0.42,0.86,2.31,0.32,1.46,2.93,0.46,0.5,0.6,0.84,0.66,0.31,2.12,2.43,0.93,0.38,0.46,0.83,1.33,6.09,Role Player
Brendan Haywood,C,14.19,0.54,0.0,0.54,12.03,18.45,15.23,3.81,0.87,4.88,15.0,14.33,1.89,1.49,3.37,0.1,-1.65,-0.06,-1.71,0.27,60,41,23.23,2.67,5.07,0.52,0.0,0.0,0.0,2.67,5.06,0.52,0.52,1.57,2.71,0.56,2.53,3.68,6.19,0.59,0.39,1.47,1.07,2.41,6.91,Role Player
Brian Cook,PF-SF,8.71,0.46,0.39,0.13,5.31,17.43,11.41,6.29,1.05,2.07,11.94,21.69,0.25,0.44,0.7,0.01,-4.04,-0.98,-5.01,-0.03,36,5,10.29,1.5,3.84,0.37,0.48,1.47,0.31,1.01,2.36,0.39,0.43,0.39,0.49,0.83,0.51,1.51,2.03,0.43,0.24,0.24,0.53,1.47,3.87,Bust
Brian Scalabrine,PF-SF,7.47,0.48,0.35,0.17,4.5,12.57,8.58,10.5,1.33,1.67,18.13,13.4,-0.08,0.77,0.68,0.06,-3.54,0.83,-2.73,-0.1,47,6,11.99,1.05,2.68,0.4,0.29,0.94,0.29,0.75,1.76,0.44,0.45,0.39,0.5,0.75,0.48,1.34,1.79,0.77,0.29,0.23,0.61,1.47,2.81,Bust
Brook Lopez,C,18.8,0.58,0.25,0.29,7.12,14.35,10.79,7.75,0.93,4.96,9.74,22.99,3.16,2.25,5.42,0.13,1.26,-0.03,1.25,1.65,65,63,29.75,6.14,12.31,0.5,0.9,2.57,0.21,5.24,9.74,0.56,0.54,2.91,3.71,0.8,1.92,3.93,5.84,1.36,0.55,1.78,1.52,2.55,16.08,Star
Buddy Hield,SG,13.73,0.57,0.6,0.1,2.77,12.97,7.79,13.23,1.43,0.95,11.12,21.9,1.15,1.14,2.29,0.06,0.93,-1.15,-0.22,0.89,64,38,28.05,5.25,12.18,0.43,2.85,7.26,0.39,2.42,4.91,0.49,0.55,1.09,1.27,0.86,0.71,3.27,3.98,2.54,0.83,0.31,1.6,2.01,14.45,Starter
Cameron Payne,PG,11.99,0.52,0.45,0.13,1.7,10.58,6.13,23.2,1.79,0.96,13.32,20.24,0.41,0.62,1.04,0.06,-1.41,-0.33,-1.72,0.17,39,6,17.7,2.84,6.82,0.41,1.12,3.06,0.36,1.72,3.76,0.46,0.5,0.68,0.84,0.79,0.29,1.72,2.0,2.9,0.64,0.21,1.11,1.71,7.48,Role Player
Caris LeVert,SG,15.23,0.54,0.37,0.24,2.81,11.87,7.36,22.21,1.79,1.3,11.28,23.71,0.9,1.27,2.16,0.08,0.09,-0.24,-0.15,0.59,46,21,28.16,5.61,12.71,0.44,1.54,4.49,0.34,4.08,8.21,0.5,0.51,2.23,2.99,0.74,0.71,3.08,3.8,4.14,1.05,0.42,1.76,1.96,14.98,Starter
Carl Landry,PF,17.24,0.59,0.01,0.43,9.55,15.02,12.28,5.31,0.96,1.27,11.05,20.47,2.63,1.02,3.66,0.14,0.38,-0.84,-0.48,0.52,51,11,23.56,4.32,8.12,0.53,0.02,0.06,0.18,4.3,8.08,0.54,0.54,2.75,3.53,0.78,1.94,2.94,4.89,0.71,0.45,0.42,1.22,2.45,11.41,Starter
Carlos Boozer,PF,19.25,0.55,0.0,0.28,8.85,26.32,17.6,13.25,1.48,0.94,12.58,24.18,3.13,3.05,6.17,0.14,1.15,0.07,1.2,1.78,66,60,31.35,6.8,13.05,0.52,0.0,0.01,0.02,6.8,13.04,0.52,0.52,2.66,3.72,0.72,2.38,7.09,9.48,2.28,0.89,0.39,2.12,3.07,16.27,Star
Carmelo Anthony,SF,19.13,0.54,0.24,0.33,4.97,15.46,10.2,13.83,1.37,1.26,10.0,29.19,3.63,1.91,5.55,0.12,2.38,-1.22,1.15,1.88,64,57,34.4,7.99,17.91,0.44,1.42,3.97,0.35,6.58,13.93,0.47,0.49,4.99,6.1,0.81,1.54,4.72,6.26,2.66,0.94,0.53,2.36,2.84,22.37,Star
Caron Butler,SF-SG,14.07,0.52,0.25,0.25,3.81,13.81,8.75,10.94,2.09,0.64,10.67,21.02,1.54,1.58,3.12,0.08,-0.47,-0.18,-0.66,0.73,56,46,31.06,5.04,11.7,0.43,0.91,2.57,0.33,4.13,9.12,0.45,0.47,2.6,3.08,0.84,1.11,3.71,4.83,2.1,1.27,0.25,1.68,2.35,13.58,Starter
Chandler Parsons,SF,12.49,0.52,0.46,0.16,2.57,13.57,8.04,13.57,1.8,1.04,12.0,18.66,1.94,1.27,3.22,0.07,-0.37,-0.22,-0.59,1.14,49,41,26.09,4.01,9.07,0.42,1.4,3.87,0.35,2.63,5.2,0.47,0.5,1.16,1.6,0.72,0.64,3.17,3.82,2.29,0.88,0.3,1.31,1.77,10.6,Role Player
Channing Frye,PF-C,12.95,0.56,0.47,0.14,4.02,18.56,11.32,7.37,1.15,1.89,9.79,17.4,1.38,1.19,2.55,0.09,-0.51,-0.11,-0.62,0.54,60,28,20.04,2.92,6.64,0.44,1.12,2.93,0.36,1.81,3.71,0.51,0.53,0.81,0.99,0.83,0.72,3.29,4.01,0.94,0.45,0.51,0.77,2.26,7.81,Starter
Charlie Villanueva,PF-SF,15.44,0.51,0.41,0.15,5.95,20.52,13.01,6.72,1.34,2.08,8.49,24.39,1.08,0.96,2.05,0.07,0.41,-1.21,-0.79,0.45,60,15,19.16,3.73,8.66,0.42,1.05,3.16,0.33,2.67,5.52,0.49,0.49,1.1,1.41,0.75,1.1,3.22,4.3,0.76,0.46,0.49,0.91,2.07,9.59,Role Player
Chris Bosh,PF,20.51,0.57,0.08,0.43,6.98,20.71,13.97,9.95,1.22,2.25,10.68,24.72,5.29,2.88,8.15,0.16,2.21,-0.3,1.91,2.41,69,68,35.72,7.02,14.25,0.49,0.39,1.15,0.3,6.61,13.08,0.51,0.51,4.98,6.23,0.8,2.08,6.35,8.44,2.05,0.82,1.02,2.03,2.38,19.39,Superstar
Chris Boucher,PF,13.36,0.52,0.5,0.28,9.16,31.86,21.14,3.61,1.19,5.16,6.34,22.75,1.96,1.29,3.25,0.04,-1.8,-1.28,-3.08,0.7,51,3,14.58,2.61,5.46,0.42,0.78,2.41,0.29,1.84,3.08,0.6,0.49,1.36,1.71,0.79,1.4,2.91,4.31,0.44,0.4,0.81,0.48,1.58,7.34,Role Player
Chris Duhon,PG,10.07,0.52,0.53,0.2,1.42,8.29,4.86,24.89,1.53,0.19,21.04,12.97,1.29,1.5,2.78,0.07,-1.62,0.1,-1.51,0.34,67,35,24.76,2.1,5.38,0.39,1.01,2.81,0.36,1.11,2.57,0.43,0.49,0.91,1.14,0.72,0.32,1.82,2.17,4.26,0.73,0.03,1.48,1.51,6.14,Role Player
Chris Kaman,C-PF,14.75,0.52,0.01,0.24,8.6,23.18,15.94,9.35,0.84,3.45,16.62,22.08,0.03,1.87,1.9,0.05,-1.92,-0.1,-2.05,0.03,57,41,25.56,4.57,9.38,0.49,0.01,0.05,0.03,4.56,9.32,0.49,0.49,1.69,2.28,0.76,1.91,5.32,7.22,1.28,0.42,1.24,2.04,2.55,10.86,Role Player
Chris Paul,PG,23.13,0.58,0.31,0.31,1.96,12.98,7.48,43.5,3.0,0.44,13.64,22.45,7.76,3.0,10.76,0.22,4.36,1.96,6.32,4.94,68,66,33.64,6.02,12.82,0.47,1.4,3.76,0.37,4.61,9.04,0.51,0.52,3.56,4.08,0.87,0.58,3.84,4.42,9.22,2.0,0.18,2.28,2.35,16.96,Superstar
Chris Wilcox,PF-C,14.85,0.57,0.0,0.38,9.37,19.91,14.63,6.24,1.31,1.57,14.39,18.61,1.28,0.87,2.15,0.1,-1.41,-0.55,-1.96,0.09,51,19,18.91,3.19,5.85,0.55,0.0,0.02,0.0,3.19,5.83,0.55,0.55,1.41,2.21,0.62,1.52,3.25,4.78,0.72,0.47,0.37,1.1,2.33,7.75,Role Player
Christian Wood,PF,18.91,0.59,0.29,0.45,7.65,24.86,16.31,6.89,1.16,3.25,11.18,22.74,1.17,0.9,2.1,0.13,0.81,-0.57,0.22,0.64,36,14,18.49,3.96,7.74,0.5,0.86,2.39,0.34,3.11,5.34,0.57,0.55,2.17,3.11,0.7,1.19,4.45,5.62,0.96,0.45,0.76,1.15,1.43,10.97,Starter
CJ McCollum,PG-SG,16.91,0.55,0.4,0.16,2.19,10.33,6.22,19.81,1.45,1.04,9.66,25.88,2.71,1.26,3.96,0.09,2.07,-0.99,1.06,1.63,61,54,31.63,7.44,16.39,0.45,2.56,6.46,0.39,4.89,9.9,0.49,0.53,2.03,2.62,0.77,0.66,3.0,3.66,3.92,0.91,0.38,1.79,2.04,19.46,Star
CJ Watson,PG,12.53,0.52,0.35,0.28,2.11,8.42,5.27,18.65,2.26,0.41,13.9,17.09,1.24,1.16,2.4,0.09,-1.22,0.44,-0.74,0.5,60,10,19.95,2.43,5.88,0.41,0.75,2.08,0.36,1.67,3.8,0.44,0.47,1.37,1.69,0.81,0.36,1.55,1.9,2.48,0.9,0.12,1.11,1.47,7.03,Role Player
Cody Zeller,C-PF,16.05,0.58,0.04,0.49,11.29,20.63,15.88,10.23,1.34,2.27,13.47,16.67,1.72,1.32,3.05,0.14,-1.35,0.25,-1.11,0.37,50,25,19.71,2.89,5.4,0.53,0.05,0.25,0.25,2.84,5.15,0.54,0.53,1.8,2.5,0.72,1.94,3.58,5.49,1.27,0.55,0.54,0.97,2.4,7.62,Starter
Corey Brewer,SF-SG,11.76,0.5,0.29,0.31,4.33,10.89,7.56,10.55,3.07,0.95,12.9,17.23,0.33,1.03,1.35,0.07,-2.67,1.11,-1.55,0.1,50,17,20.5,2.8,6.58,0.43,0.52,1.86,0.26,2.28,4.71,0.5,0.47,1.35,1.89,0.71,0.77,1.9,2.67,1.45,1.22,0.24,1.03,2.1,7.48,Role Player
Cory Joseph,PG,11.79,0.52,0.33,0.21,2.63,10.05,6.33,20.07,1.7,0.89,13.56,15.42,1.08,1.06,2.14,0.08,-1.69,0.27,-1.42,0.27,58,13,20.08,2.49,5.63,0.43,0.59,1.71,0.33,1.9,3.89,0.48,0.49,0.95,1.2,0.77,0.46,1.81,2.29,2.86,0.69,0.22,0.98,1.55,6.53,Role Player
Dahntay Jones,SG-SF,8.84,0.49,0.16,0.42,3.3,9.97,6.66,8.3,1.31,1.2,11.51,18.03,0.15,0.55,0.69,0.04,-3.73,-0.49,-4.22,-0.33,47,12,15.51,1.98,4.72,0.4,0.2,0.71,0.27,1.78,4.01,0.43,0.42,1.23,1.63,0.73,0.44,1.35,1.79,0.84,0.39,0.3,0.67,1.95,5.39,Bust
Damian Jones,C,13.12,0.68,0.08,0.47,8.71,16.32,12.55,5.39,0.92,4.22,17.02,12.53,0.72,0.35,1.08,0.12,-2.74,0.38,-2.36,0.08,28,7,12.53,1.63,2.48,0.64,0.08,0.21,0.28,1.55,2.28,0.66,0.66,0.83,1.16,0.7,0.95,1.92,2.86,0.55,0.27,0.61,0.6,1.78,4.2,Role Player
