Player,POS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Label
Derrick Favors,PF,17.75,0.56,0.03,0.34,11.69,21.45,16.57,6.88,1.46,3.83,11.82,18.67,2.38,2.14,4.5,0.14,-0.36,0.51,0.13,0.96,62,38,23.44,4.07,7.64,0.54,0.04,0.2,0.12,4.04,7.43,0.55,0.54,1.71,2.64,0.65,2.36,4.43,6.79,1.0,0.68,1.12,1.19,2.52,9.89,Star
Derrick Rose,PG,16.12,0.52,0.2,0.21,2.71,8.44,5.59,27.29,1.31,0.91,12.78,26.95,1.47,1.04,2.51,0.07,1.06,-1.31,-0.25,1.0,42,28,26.45,5.77,12.93,0.44,0.84,2.56,0.3,4.95,10.36,0.47,0.48,2.47,2.93,0.86,0.64,2.07,2.72,4.32,0.67,0.29,2.11,1.07,14.84,Role Player
Derrick White,PG,15.44,0.58,0.48,0.3,2.31,11.82,7.1,19.48,1.39,2.57,11.37,18.93,2.65,1.84,4.48,0.13,0.93,0.81,1.73,1.67,57,43,27.01,4.2,9.51,0.45,1.72,4.81,0.38,2.49,4.73,0.52,0.54,2.12,2.51,0.84,0.54,2.87,3.42,3.93,0.76,0.83,1.34,2.04,12.24,Star
DeSagana Diop,C,8.78,0.42,0.01,0.31,11.18,18.72,14.96,5.58,1.29,5.34,21.33,10.16,0.02,1.06,1.08,0.04,-4.28,1.15,-3.14,0.04,47,7,13.04,0.82,1.92,0.42,0.0,0.01,0.12,0.82,1.92,0.42,0.42,0.27,0.62,0.35,1.3,2.14,3.43,0.46,0.32,0.9,0.57,1.75,1.89,Bust
Devin Booker,SG,18.91,0.58,0.32,0.33,2.02,11.0,6.51,25.27,1.22,0.71,12.59,30.18,3.84,1.32,5.14,0.11,2.56,-1.45,1.14,1.79,67,65,34.44,8.62,18.54,0.46,2.13,6.02,0.35,6.47,12.53,0.52,0.52,5.3,6.07,0.87,0.64,3.46,4.08,5.26,0.87,0.29,3.04,2.92,24.69,Star
Devin Harris,PG,15.48,0.55,0.35,0.42,1.34,9.02,5.17,25.88,2.09,0.62,14.85,21.37,2.08,1.13,3.2,0.11,0.29,-0.13,0.15,0.89,57,28,25.21,3.71,8.6,0.43,0.9,2.74,0.32,2.8,5.87,0.48,0.49,3.01,3.75,0.8,0.3,1.93,2.23,4.21,1.0,0.19,1.83,2.25,11.34,Starter
Dewayne Dedmon,C,13.01,0.55,0.17,0.4,9.48,26.09,17.7,5.73,1.24,4.16,14.78,16.28,0.54,0.92,1.47,0.09,-3.37,0.35,-3.01,0.07,37,14,14.97,2.11,4.28,0.48,0.29,1.02,0.28,1.84,3.25,0.53,0.51,0.82,1.15,0.69,1.31,3.68,4.97,0.59,0.42,0.73,0.86,2.36,5.37,Bust
Dillon Brooks,SG-SF,10.76,0.52,0.39,0.19,2.89,8.9,5.84,10.14,1.54,0.82,9.79,22.08,0.26,1.59,1.85,0.05,-2.79,-0.8,-3.6,-0.65,62,58,28.3,5.18,12.35,0.42,1.69,4.84,0.35,3.46,7.52,0.46,0.49,1.84,2.3,0.8,0.75,2.33,3.08,1.96,0.91,0.25,1.41,3.25,13.91,Role Player
Dion Waiters,SG,11.88,0.5,0.38,0.18,1.38,10.34,5.92,15.48,1.49,1.38,11.93,24.27,-0.08,0.92,0.83,0.03,-1.06,-0.79,-1.84,-0.08,42,20,26.05,4.74,11.65,0.41,1.44,4.23,0.33,3.32,7.41,0.44,0.47,1.51,2.14,0.65,0.36,2.28,2.61,2.53,0.81,0.36,1.7,1.95,12.48,Role Player
D.J. Augustin,PG,12.7,0.56,0.51,0.3,1.3,7.39,4.32,24.3,1.23,0.12,15.79,18.32,1.82,0.79,2.61,0.08,-0.15,-1.35,-1.49,0.4,54,15,21.85,2.82,6.88,0.4,1.27,3.32,0.37,1.55,3.57,0.43,0.5,1.85,2.12,0.87,0.26,1.46,1.72,3.56,0.55,0.02,1.41,1.28,8.75,Role Player
Donovan Mitchell,SG,20.19,0.57,0.42,0.26,2.72,11.28,7.1,23.78,1.98,0.82,10.99,31.54,3.54,2.95,6.49,0.14,3.46,0.11,3.6,3.15,67,66,33.89,8.79,19.58,0.45,3.05,8.29,0.37,5.76,11.31,0.51,0.53,4.25,5.08,0.84,0.81,3.52,4.34,4.78,1.38,0.31,2.69,2.39,24.94,Superstar
Dorian Finney-Smith,SF,10.12,0.55,0.64,0.13,5.85,11.92,8.85,7.18,1.43,1.43,10.82,13.13,1.2,1.36,2.56,0.07,-1.48,-0.01,-1.48,0.35,55,42,28.19,3.02,7.06,0.42,1.65,4.52,0.36,1.35,2.54,0.54,0.54,0.65,0.9,0.72,1.48,2.99,4.47,1.46,0.82,0.45,0.9,2.2,8.32,Role Player
Doug McDermott,SF,10.59,0.58,0.54,0.13,1.81,9.3,5.55,6.88,0.58,0.38,7.96,16.65,1.14,0.48,1.61,0.07,-0.95,-1.7,-2.66,-0.05,53,6,18.81,2.95,6.37,0.46,1.34,3.27,0.4,1.62,3.11,0.52,0.56,0.68,0.85,0.74,0.35,1.66,1.98,0.92,0.22,0.08,0.57,1.32,7.89,Bust
Draymond Green,PF-SF,13.86,0.53,0.36,0.27,4.26,21.36,13.02,25.39,2.24,2.84,22.72,15.29,1.59,3.38,4.97,0.11,-0.97,2.88,1.91,2.14,68,56,28.82,3.2,7.09,0.45,0.82,2.6,0.31,2.36,4.48,0.52,0.5,1.42,1.98,0.72,1.07,5.85,6.92,5.8,1.35,1.01,2.36,2.88,8.62,Star
Drew Gooden,PF,15.66,0.51,0.06,0.29,10.76,22.18,16.4,7.33,1.28,1.72,12.58,21.89,1.01,1.43,2.43,0.09,-1.02,-0.85,-1.87,0.15,46,29,24.67,4.29,9.23,0.46,0.1,0.39,0.15,4.19,8.86,0.47,0.46,2.18,2.77,0.78,2.35,4.79,7.14,1.09,0.61,0.56,1.53,2.48,10.84,Role Player
Dwight Howard,PF-C,20.69,0.61,0.01,0.76,12.34,29.61,21.09,6.92,1.39,4.19,16.99,21.48,3.65,4.23,7.89,0.17,0.52,0.79,1.33,2.17,69,60,31.1,5.58,9.5,0.6,0.01,0.08,0.18,5.57,9.42,0.6,0.6,4.18,7.38,0.57,3.29,8.26,11.53,1.29,0.87,1.68,2.58,3.16,15.39,Superstar
Dwight Powell,PF,17.62,0.66,0.12,0.54,8.71,16.15,12.38,7.71,2.39,2.06,13.45,16.1,2.59,1.14,3.73,0.17,-0.11,1.43,1.32,0.69,56,20,15.5,2.17,3.62,0.61,0.15,0.53,0.26,2.02,3.11,0.65,0.63,1.37,1.86,0.71,1.32,2.32,3.62,0.89,0.54,0.38,0.61,1.95,5.85,Star
Dwyane Wade,SG-SF,21.94,0.54,0.11,0.39,4.1,12.06,8.15,29.21,2.31,2.03,14.09,30.7,4.04,2.74,6.77,0.14,3.24,0.62,3.86,3.51,62,51,32.66,7.61,15.96,0.47,0.5,1.72,0.28,7.11,14.23,0.5,0.49,4.99,6.54,0.76,1.12,3.41,4.53,5.16,1.47,0.82,3.05,2.17,20.69,Superstar
Earl Watson,PG,11.65,0.49,0.35,0.25,2.75,9.09,5.89,29.39,2.36,0.67,24.57,16.17,0.41,1.05,1.46,0.05,-1.52,0.0,-1.51,0.23,63,16,21.41,2.35,5.7,0.4,0.69,1.94,0.31,1.69,3.77,0.43,0.45,0.95,1.35,0.71,0.49,1.71,2.2,4.25,0.95,0.18,1.73,2.03,6.31,Bust
Ed Davis,PF,15.28,0.57,0.0,0.43,12.49,24.55,18.49,5.85,1.3,3.51,13.38,13.18,2.01,1.46,3.47,0.15,-1.35,0.62,-0.74,0.5,57,10,17.91,2.29,4.11,0.55,0.0,0.0,0.0,2.29,4.11,0.56,0.55,0.96,1.63,0.59,2.02,3.83,5.84,0.7,0.46,0.76,0.68,2.36,5.51,Starter
Eddie House,SG-PG,13.1,0.5,0.39,0.09,1.48,9.38,5.46,15.66,2.1,0.35,9.0,21.37,0.46,0.97,1.43,0.07,-0.31,-0.02,-0.33,0.41,53,2,16.79,2.78,6.81,0.41,1.02,2.63,0.4,1.75,4.18,0.41,0.48,0.53,0.62,0.86,0.22,1.36,1.57,1.5,0.7,0.08,0.73,1.23,7.09,Starter
Eddy Curry,C,10.57,0.57,0.0,0.63,7.41,16.75,11.99,2.81,0.4,1.8,20.96,23.83,1.08,0.87,1.98,0.01,-5.0,-1.71,-6.73,-0.12,48,37,19.26,3.65,6.82,0.56,0.0,0.0,1.0,3.65,6.82,0.56,0.56,2.33,3.77,0.59,1.35,2.58,3.96,0.36,0.18,0.5,1.88,2.68,9.66,Bust
Eduardo Najera,PF-SF,10.76,0.51,0.2,0.27,8.14,14.19,11.13,7.28,2.04,1.44,13.07,13.41,0.83,0.88,1.69,0.08,-2.47,0.51,-1.97,0.14,46,6,16.84,1.79,3.87,0.46,0.19,0.68,0.24,1.59,3.19,0.5,0.49,0.72,1.11,0.61,1.26,2.12,3.36,0.79,0.67,0.33,0.64,2.16,4.49,Role Player
Elfrid Payton,PG,12.54,0.44,0.12,0.19,3.75,12.79,8.2,33.58,2.17,1.25,20.7,19.04,0.24,1.09,1.33,0.02,-2.28,-0.25,-2.53,0.25,47,37,25.46,3.63,8.38,0.41,0.32,1.12,0.26,3.3,7.25,0.43,0.42,1.08,1.74,0.61,0.92,2.98,3.88,5.88,1.12,0.34,2.24,1.94,8.65,Bust
Emeka Okafor,C-PF,16.65,0.53,0.0,0.38,12.01,24.45,18.14,4.71,1.14,4.19,12.52,18.53,1.74,2.77,4.53,0.11,-0.62,-0.07,-0.69,0.69,62,60,29.91,4.65,9.24,0.51,0.0,0.0,0.0,4.65,9.24,0.51,0.51,2.14,3.58,0.6,3.1,6.18,9.28,0.85,0.67,1.59,1.56,2.69,11.44,Starter
Eric Bledsoe,PG,16.54,0.54,0.31,0.33,3.19,11.54,7.39,25.3,2.56,1.5,17.54,23.56,1.81,1.89,3.69,0.09,0.64,0.5,1.14,1.54,59,46,27.93,5.03,11.22,0.44,1.18,3.51,0.33,3.85,7.71,0.5,0.49,2.96,3.75,0.77,0.74,2.99,3.72,4.6,1.41,0.49,2.59,2.03,14.2,Starter
Eric Gordon,SG,13.61,0.57,0.51,0.27,1.19,6.96,4.05,13.95,1.36,1.02,11.74,21.56,1.68,0.66,2.33,0.07,0.43,-1.29,-0.86,0.48,52,38,30.65,5.14,11.94,0.43,2.15,5.87,0.37,2.99,6.05,0.5,0.53,2.69,3.33,0.81,0.34,1.89,2.23,2.71,0.83,0.35,1.8,1.69,15.12,Starter
Ersan Ilyasova,SF,14.4,0.54,0.4,0.21,7.58,18.89,13.24,7.32,1.6,1.25,10.1,19.36,1.58,1.5,3.06,0.11,-0.32,-0.2,-0.53,0.58,52,29,22.86,3.66,8.38,0.43,1.14,3.16,0.36,2.53,5.2,0.48,0.51,1.44,1.86,0.78,1.6,3.92,5.53,1.08,0.71,0.35,1.0,2.36,9.89,Starter
E'Twaun Moore,SG,10.97,0.52,0.33,0.11,2.55,8.23,5.44,12.85,1.65,0.87,11.25,17.42,0.65,0.85,1.48,0.05,-2.03,-0.05,-2.08,0.03,60,19,19.72,3.03,6.68,0.45,0.86,2.24,0.38,2.16,4.42,0.48,0.51,0.53,0.71,0.76,0.46,1.47,1.93,1.66,0.65,0.21,0.86,1.5,7.44,Role Player
Evan Turner,SG,11.4,0.49,0.14,0.21,2.38,16.38,9.34,19.4,1.38,0.87,16.05,19.16,-0.08,1.87,1.8,0.04,-2.37,0.03,-2.33,-0.03,66,29,26.08,3.86,8.96,0.43,0.38,1.29,0.28,3.46,7.67,0.45,0.45,1.54,1.97,0.78,0.56,3.9,4.47,3.3,0.72,0.24,1.81,1.95,9.64,Role Player
Francisco Garcia,SF-SG,11.2,0.52,0.51,0.16,2.17,10.41,6.27,9.75,1.91,2.48,11.28,16.09,0.8,0.8,1.63,0.06,-0.9,0.59,-0.31,0.52,51,13,20.38,2.59,6.22,0.41,1.08,3.03,0.35,1.55,3.2,0.47,0.49,0.84,1.05,0.76,0.41,1.84,2.25,1.29,0.76,0.68,0.86,2.0,7.1,Role Player
Frank Kaminsky,C-PF,15.48,0.57,0.42,0.27,4.56,19.16,11.82,14.44,1.15,1.95,8.5,18.31,0.85,0.81,1.67,0.12,0.76,0.53,1.29,0.39,45,5,16.09,2.64,5.87,0.45,0.81,2.32,0.35,1.82,3.56,0.53,0.53,1.22,1.58,0.79,0.67,2.66,3.32,1.41,0.4,0.34,0.6,1.26,7.28,Starter
Gary Harris,SG,10.58,0.54,0.49,0.18,2.32,6.9,4.58,9.58,1.83,0.85,9.78,16.02,1.15,0.96,2.12,0.06,-1.99,-0.2,-2.2,0.17,51,37,26.67,3.66,8.43,0.42,1.42,3.88,0.35,2.24,4.55,0.49,0.51,1.28,1.61,0.79,0.55,1.65,2.2,1.82,0.99,0.24,0.98,1.72,10.04,Role Player
Gary Payton II,PG,15.48,0.6,0.34,0.13,6.42,14.52,10.47,14.29,3.34,2.02,13.13,15.09,0.47,0.52,1.0,0.13,-1.15,2.41,1.25,0.26,24,4,12.88,1.82,3.46,0.53,0.42,1.2,0.36,1.42,2.28,0.62,0.59,0.26,0.43,0.62,0.75,1.65,2.42,1.18,0.79,0.28,0.59,1.54,4.3,Starter
George Hill,PG,13.81,0.58,0.41,0.28,2.56,9.17,5.93,17.04,1.68,0.8,12.39,16.3,2.1,1.41,3.49,0.12,-0.33,0.49,0.14,0.89,49,25,25.04,3.43,7.39,0.46,1.11,2.91,0.38,2.31,4.48,0.53,0.54,1.64,2.03,0.81,0.57,2.12,2.69,2.88,0.85,0.23,1.13,1.77,9.61,Starter
Georges Niang,PF,10.05,0.55,0.61,0.1,3.05,14.75,8.98,8.74,1.15,0.62,11.28,18.15,0.77,0.96,1.72,0.05,-1.89,-0.8,-2.68,0.05,57,3,15.99,2.51,5.65,0.42,1.48,3.75,0.34,1.02,1.92,0.53,0.54,0.44,0.53,0.83,0.35,2.03,2.37,0.95,0.31,0.14,0.69,1.67,6.93,Role Player
Gerald Green,SF,16.75,0.55,0.39,0.18,6.89,11.64,9.19,7.76,1.21,1.06,10.69,24.19,0.52,0.77,1.3,0.1,1.41,-0.49,0.93,0.14,49,8,17.14,3.18,7.34,0.45,1.17,3.22,0.35,2.01,4.11,0.5,0.52,1.1,1.36,0.81,0.56,1.81,2.37,0.8,0.46,0.25,1.0,1.79,8.6,Role Player
Gerald Henderson,SG-SF,12.91,0.51,0.16,0.32,2.89,11.8,7.28,11.75,1.38,1.15,9.93,20.69,1.08,1.19,2.29,0.06,-1.45,-0.54,-1.99,0.08,67,42,25.18,4.08,9.28,0.43,0.44,1.35,0.29,3.65,7.95,0.45,0.46,2.26,2.85,0.79,0.6,2.52,3.12,1.81,0.65,0.35,1.16,1.7,10.85,Role Player
Gilbert Arenas,SG,16.91,0.52,0.38,0.37,2.12,10.82,6.39,27.61,2.22,0.63,14.75,26.07,2.82,1.17,3.98,0.09,1.5,-0.46,1.04,1.7,48,36,31.95,5.68,14.16,0.4,1.72,5.14,0.33,3.98,9.03,0.44,0.46,4.38,5.56,0.78,0.62,2.98,3.62,5.25,1.35,0.27,2.8,2.84,17.48,Starter
Gordon Hayward,SF,15.28,0.56,0.31,0.31,2.72,13.85,8.27,16.81,1.46,0.97,11.81,20.84,2.61,1.47,4.06,0.1,0.39,-0.22,0.17,1.43,55,42,28.34,4.87,10.6,0.46,1.18,3.19,0.36,3.68,7.39,0.52,0.52,2.79,3.42,0.8,0.72,3.44,4.16,3.27,0.88,0.33,1.71,1.58,13.7,Starter
Gorgui Dieng,C,16.63,0.59,0.3,0.33,8.74,23.1,15.83,10.79,1.89,3.47,14.49,16.98,1.39,1.16,2.56,0.13,-0.19,1.05,0.86,0.62,52,16,17.8,2.51,5.12,0.49,0.49,1.32,0.39,2.03,3.78,0.55,0.54,1.37,1.74,0.79,1.45,3.63,5.08,1.27,0.7,0.76,0.99,1.94,6.88,Starter
Greg Monroe,PF-C,22.3,0.57,0.01,0.37,16.88,20.86,18.8,17.23,1.68,2.17,12.94,22.4,1.62,1.14,2.79,0.17,2.26,-0.31,1.95,0.82,38,22,19.74,3.88,7.28,0.55,0.02,0.02,0.13,3.86,7.24,0.55,0.55,1.74,2.54,0.66,2.3,3.92,6.23,1.76,0.72,0.48,1.34,1.83,9.52,Star
Hakim Warrick,PF-SF,15.68,0.55,0.02,0.57,6.71,14.14,10.39,6.33,1.59,0.99,11.25,21.62,1.28,0.74,2.03,0.1,-0.53,-0.58,-1.12,0.02,52,11,18.35,2.97,6.26,0.47,0.03,0.15,0.1,2.94,6.11,0.48,0.47,2.46,3.34,0.74,1.16,2.33,3.48,0.7,0.44,0.24,1.03,1.55,8.42,Role Player
Harrison Barnes,SF-SG,13.47,0.57,0.37,0.3,3.44,13.27,8.35,8.06,1.04,0.48,8.58,18.57,2.81,1.52,4.34,0.09,0.09,-1.01,-0.92,0.63,71,67,31.65,5.01,10.98,0.46,1.54,3.99,0.38,3.44,6.98,0.5,0.53,2.7,3.31,0.8,0.99,3.85,4.83,1.78,0.66,0.19,1.15,1.49,14.23,Starter
Hassan Whiteside,C-PF,18.74,0.59,0.0,0.4,12.95,29.39,21.22,3.46,0.98,7.04,12.46,18.68,2.59,2.61,5.21,0.16,-2.09,0.89,-1.18,1.45,51,33,20.53,4.3,7.34,0.58,0.01,0.03,0.42,4.28,7.31,0.58,0.58,1.67,2.83,0.57,2.6,6.22,8.79,0.52,0.44,1.86,1.21,2.39,10.27,Starter
Iman Shumpert,PG-SG,8.62,0.47,0.51,0.14,3.69,11.3,7.43,10.17,2.39,0.86,14.08,15.48,0.11,1.0,1.13,0.02,-3.18,0.41,-2.76,0.09,42,22,22.53,2.44,6.31,0.37,0.98,3.06,0.3,1.46,3.28,0.48,0.45,0.67,0.9,0.72,0.66,2.37,3.05,1.68,1.02,0.26,1.09,2.01,6.53,Bust
Isaiah Thomas,PG,14.49,0.52,0.43,0.28,1.74,6.47,4.08,25.63,1.1,0.45,11.78,26.93,2.27,0.43,2.72,0.06,0.5,-2.57,-2.08,0.93,36,20,22.9,4.44,11.01,0.4,1.54,4.71,0.33,2.93,6.29,0.45,0.47,2.98,3.45,0.86,0.41,1.45,1.84,3.7,0.56,0.12,1.86,1.73,13.38,Bust
Jae Crowder,SF,12.11,0.55,0.57,0.21,3.54,14.72,9.21,8.78,1.92,1.1,9.25,15.83,1.23,1.58,2.8,0.1,-0.8,0.49,-0.31,0.66,55,29,23.86,3.05,7.31,0.41,1.47,4.22,0.34,1.57,3.11,0.51,0.51,1.27,1.62,0.78,0.72,3.36,4.06,1.53,0.92,0.32,0.79,1.96,8.84,Starter
Jakob Poeltl,C,19.02,0.63,0.0,0.32,12.97,21.63,17.19,11.69,1.45,4.7,14.7,15.83,2.75,1.79,4.56,0.16,0.25,0.96,1.21,1.15,61,37,23.26,4.25,6.75,0.63,0.0,0.01,0.37,4.25,6.73,0.63,0.63,1.15,2.04,0.56,2.8,4.62,7.41,1.99,0.73,1.25,1.27,2.56,9.68,Star
Jamaal Tinsley,PG,12.1,0.45,0.36,0.19,2.48,9.96,6.21,35.85,2.6,0.73,23.85,18.85,-0.06,1.61,1.57,0.03,-1.25,0.11,-1.14,0.64,50,37,24.79,2.98,7.65,0.38,0.68,2.38,0.26,2.32,5.28,0.45,0.42,1.24,1.72,0.72,0.57,2.18,2.73,5.59,1.29,0.23,2.36,2.24,7.88,Bust
Jamal Crawford,PG-SG,15.68,0.53,0.39,0.24,1.21,6.89,4.03,23.4,1.48,0.52,11.81,23.92,2.06,0.84,2.92,0.09,1.66,-1.4,0.26,0.86,63,23,28.7,5.02,12.15,0.42,1.71,4.76,0.36,3.32,7.41,0.45,0.49,2.7,3.16,0.85,0.34,1.8,2.11,3.46,0.85,0.19,1.81,1.45,14.45,Starter
Jameer Nelson,PG,12.82,0.5,0.41,0.14,2.07,9.77,5.96,29.32,1.67,0.26,17.17,19.78,1.48,1.16,2.64,0.07,-0.53,-0.49,-1.02,0.61,52,35,26.08,3.8,9.03,0.41,1.24,3.58,0.34,2.55,5.45,0.45,0.48,1.12,1.39,0.8,0.47,2.31,2.75,4.87,0.83,0.08,1.94,2.37,9.94,Role Player
James Ennis,SF,12.73,0.56,0.44,0.3,6.63,11.74,9.17,8.1,1.67,1.76,10.65,16.04,0.74,0.53,1.26,0.09,-1.06,-0.34,-1.38,0.07,31,11,16.8,2.19,4.72,0.45,0.78,2.1,0.35,1.4,2.64,0.52,0.52,1.06,1.35,0.74,0.92,1.82,2.74,0.8,0.55,0.29,0.67,1.66,6.22,Role Player
James Harden,SG,23.1,0.61,0.47,0.5,2.43,16.08,9.36,35.44,1.98,1.4,15.98,28.51,6.89,2.58,9.46,0.2,5.19,0.72,5.9,4.58,63,52,35.26,7.04,16.03,0.44,2.72,7.58,0.36,4.32,8.47,0.51,0.52,7.01,8.12,0.86,0.75,5.24,5.99,8.0,1.42,0.58,3.78,2.42,23.82,Superstar
James Johnson,SF-PF,11.95,0.51,0.28,0.24,4.13,15.06,9.61,15.36,2.01,3.74,17.6,18.18,0.33,1.04,1.39,0.05,-2.55,1.37,-1.15,0.45,41,13,18.16,2.65,5.7,0.45,0.47,1.61,0.25,2.18,4.11,0.53,0.49,0.93,1.41,0.62,0.7,2.46,3.17,1.91,0.72,0.8,1.26,2.16,6.7,Role Player
James Jones,SF,10.59,0.56,0.69,0.2,1.79,10.26,6.13,4.86,1.09,1.39,6.19,14.66,1.09,0.71,1.79,0.1,-0.3,-0.26,-0.53,0.39,51,7,13.89,1.49,3.74,0.39,1.0,2.48,0.39,0.51,1.26,0.38,0.52,0.66,0.79,0.8,0.26,1.28,1.55,0.46,0.29,0.27,0.29,1.14,4.64,Role Player
JaMychal Green,PF,13.92,0.58,0.33,0.21,9.89,20.83,15.38,5.81,1.34,2.29,15.33,17.59,0.97,1.18,2.17,0.11,-1.49,-0.13,-1.62,0.12,49,13,17.45,2.63,5.42,0.5,0.71,1.93,0.28,1.92,3.5,0.58,0.56,0.93,1.22,0.79,1.46,3.43,4.88,0.74,0.48,0.4,0.99,2.33,6.88,Role Player
Jannero Pargo,PG,10.44,0.47,0.4,0.08,1.46,7.91,4.66,24.69,1.69,0.41,16.78,23.11,-0.16,0.45,0.28,0.01,-2.04,-1.28,-3.31,-0.06,33,1,14.23,2.27,5.88,0.38,0.79,2.35,0.33,1.46,3.54,0.41,0.45,0.51,0.58,0.89,0.2,0.97,1.18,1.99,0.45,0.08,1.14,1.3,5.84,Bust
Jared Dudley,SF,11.54,0.55,0.45,0.23,4.94,12.49,8.72,9.74,1.81,0.68,12.42,13.22,1.84,1.01,2.84,0.1,-0.81,0.48,-0.32,0.74,61,18,20.37,2.36,5.11,0.44,0.82,2.12,0.38,1.54,3.0,0.47,0.53,0.92,1.27,0.73,0.88,2.12,2.99,1.37,0.74,0.17,0.76,1.71,6.47,Starter
Jared Jeffries,PF,9.1,0.45,0.11,0.38,10.17,11.63,10.88,8.39,1.79,1.94,17.39,12.17,0.26,0.79,1.06,0.04,-2.9,0.17,-2.72,-0.09,49,25,19.73,1.6,3.8,0.41,0.12,0.45,0.22,1.49,3.37,0.43,0.42,0.83,1.44,0.55,1.73,1.96,3.68,1.13,0.68,0.53,0.93,2.29,4.17,Bust
Jarrett Allen,C,20.49,0.67,0.03,0.51,11.45,24.84,18.22,8.64,1.07,4.0,13.29,16.58,4.63,2.68,7.31,0.19,1.4,0.71,2.11,1.91,63,55,28.39,4.99,7.78,0.64,0.04,0.21,0.14,4.95,7.59,0.65,0.64,2.73,3.86,0.72,2.94,6.52,9.45,1.67,0.63,1.29,1.43,1.88,12.78,Superstar
Jarrett Jack,PG,13.61,0.55,0.23,0.33,1.28,10.23,5.73,26.05,1.62,0.32,18.29,19.59,1.66,0.93,2.62,0.07,-0.53,-0.52,-1.04,0.47,63,28,26.8,3.7,8.5,0.45,0.64,1.95,0.3,3.07,6.55,0.5,0.48,2.27,2.62,0.86,0.31,2.42,2.74,4.48,0.82,0.11,1.99,1.83,10.31,Role Player
Jarron Collins,C-PF,6.4,0.47,0.0,0.61,11.08,10.88,11.04,5.88,0.74,0.71,17.18,11.42,0.85,0.46,1.3,0.04,-4.33,-1.25,-5.58,-0.23,48,18,13.07,0.98,2.27,0.4,0.0,0.0,0.0,0.98,2.27,0.4,0.4,1.04,1.48,0.67,1.07,1.31,2.36,0.57,0.2,0.12,0.54,2.04,3.0,Bust
Jason Collins,PF-C,4.99,0.45,0.02,0.57,6.38,12.69,9.52,4.9,1.32,1.89,20.98,9.38,-0.0,1.21,1.21,0.04,-5.95,0.62,-5.32,-0.49,50,30,16.31,0.91,2.25,0.39,0.0,0.02,0.19,0.9,2.22,0.4,0.39,0.75,1.19,0.59,0.94,1.87,2.81,0.6,0.41,0.4,0.64,2.44,2.59,Bust
Jason Hart,PG,9.81,0.53,0.09,0.2,1.91,9.88,5.87,22.81,2.81,0.85,25.05,14.86,0.19,0.47,0.65,0.03,-4.07,1.69,-2.36,0.05,28,5,12.05,1.3,3.0,0.48,0.09,0.37,0.2,1.2,2.65,0.5,0.49,0.62,0.74,0.82,0.2,1.07,1.27,1.71,0.61,0.09,0.79,1.25,3.28,Bust
Jason Kapono,SG-SF,8.78,0.5,0.36,0.11,2.33,8.33,5.34,6.89,1.01,0.27,9.5,16.24,0.64,0.49,1.14,0.04,-2.18,-1.19,-3.36,-0.16,57,10,15.76,2.2,5.06,0.41,0.76,1.81,0.39,1.43,3.24,0.43,0.48,0.46,0.53,0.8,0.29,1.16,1.46,0.71,0.31,0.03,0.56,1.34,5.64,Bust
Jason Maxiell,PF,11.98,0.5,0.0,0.46,10.14,15.37,12.71,3.5,1.15,3.29,12.69,16.24,0.79,1.22,2.03,0.07,-2.84,-0.48,-3.3,-0.16,62,19,17.28,2.09,4.27,0.48,0.0,0.0,0.0,2.09,4.26,0.48,0.48,1.02,1.83,0.53,1.55,2.29,3.83,0.4,0.35,0.73,0.75,1.79,5.19,Bust
Jason Richardson,SF-SG,15.79,0.53,0.37,0.19,3.72,12.21,7.96,12.74,1.74,0.84,9.04,22.73,2.62,1.61,4.22,0.1,1.43,-0.38,1.05,1.66,59,58,33.2,6.22,14.18,0.44,1.92,5.12,0.37,4.29,9.07,0.47,0.51,2.05,2.86,0.71,1.11,3.57,4.66,2.44,1.13,0.38,1.56,2.19,16.41,Starter
Jason Smith,PF,11.38,0.5,0.22,0.22,8.14,16.84,12.48,7.2,1.01,3.26,13.36,19.05,0.36,0.68,1.02,0.05,-3.22,-0.71,-3.92,-0.16,45,8,14.69,2.23,5.01,0.42,0.25,0.78,0.25,1.99,4.24,0.42,0.46,0.85,1.06,0.82,1.03,2.15,3.16,0.69,0.29,0.57,0.78,2.0,5.54,Bust
JaVale McGee,C-PF,18.0,0.57,0.02,0.3,11.91,22.16,17.01,4.59,1.05,6.58,14.36,20.85,1.05,1.19,2.24,0.11,-1.64,0.31,-1.32,0.35,47,18,15.59,3.1,5.59,0.56,0.01,0.1,0.2,3.09,5.49,0.57,0.56,0.97,1.64,0.61,1.68,3.09,4.76,0.42,0.33,1.3,1.03,2.09,7.2,Role Player
Jaylen Brown,SG-SF,16.51,0.57,0.35,0.26,3.61,15.09,9.42,13.56,1.62,1.1,11.38,26.19,1.79,2.71,4.51,0.1,0.39,-0.27,0.12,1.2,67,55,31.06,7.29,15.22,0.48,1.94,5.41,0.36,5.34,9.83,0.54,0.54,2.88,3.94,0.72,1.02,4.39,5.4,2.71,1.02,0.39,2.17,2.53,19.39,Star
