,PER_nba,TS%_nba,3PAr_nba,FTr_nba,ORB%_nba,DRB%_nba,TRB%_nba,AST%_nba,STL%_nba,BLK%_nba,TOV%_nba,USG%_nba,OWS_nba,DWS_nba,WS_nba,OBPM_nba,DBPM_nba,BPM_nba,FG_nba,FGA_nba,FG%_nba,3P_nba,3PA_nba,3P%_nba,2P_nba,2PA_nba,2P%_nba,eFG%_nba,FT_nba,FTA_nba,FT%_nba,ORB_nba,DRB_nba,TRB_nba,AST_nba,STL_nba,BLK_nba,TOV_nba,PF_nba,PTS_nba
DRB%_nba,,,,0.5014953666824968,0.8104974836126984,1.0,0.9705614075977231,,,0.6914122787351575,0.24268650703665162,,,,,,,,,,0.5607896725354449,,,,,,0.5816812698371315,,,,,0.767715337625683,0.6821599578998407,0.7603728902954878,,,0.5900808331594645,,,
DRB_nba,0.5695953301491906,,,0.4465932077592397,,0.6821599578998407,0.6239132917985541,,,,,,,0.726805921080384,0.5611812935513723,,,,,,,,,,0.6023552782831381,0.5142720529935106,,,,,,0.7299696046993734,1.0,0.9662892719220306,,,0.6015225981725963,,0.5734946809148245,
DWS_college,,,,,,,,,0.19509524445842086,,,,,,,,0.27541029992224986,,,,,,,,,,,,,,,,,,,,,,,
DWS_nba,,,,,,,,,0.325205567277927,,,,0.494997815797806,1.0,0.741406205625598,,0.4405517435013852,0.614184297229297,,,,,,,0.5952023588834325,0.5531763941081507,,,0.503922174690365,0.5610048180987312,,,0.726805921080384,0.6647678543274961,,0.6152308108910728,0.4865024004283928,0.5167408383771357,0.4958164075619841,
FG%_college,,0.4454355271595665,,,0.6229407362635211,,0.6235338378545636,,,,,,,,,,,,,,0.6050326662404154,,,,,,0.5554067835172328,0.47112500848673683,,,,,,,,,,,,
FG%_nba,0.6058399433754155,0.7994957711677565,,0.655954787950923,0.7109622970719627,,0.6500214322495972,,,0.5893476469068805,,,0.4289572153921234,,,,,,,,1.0,,,,,,0.8609330830332518,0.8274624586267358,,,,0.7158982741354225,,0.5871705732837679,,,0.5403582625321206,,,
FGA_college,,,0.16724152139191753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGA_nba,,,0.13775797115416824,,,,,0.4978073175612117,,,,0.8818258320560804,0.521788195881041,,0.573488140797133,0.7219582121145115,,0.5373456004253698,0.9735095860204747,1.0,,0.7678389510751156,0.7854906102104019,0.3639647883784513,0.8197362365991142,0.884582474175532,,,0.8031125623717588,0.7651399606710461,0.4053632072596425,,,,0.6748069238165287,0.5534549659683602,,0.8334643489902581,,0.9806833492641827
FG_nba,0.6430743960990356,,,,,,,0.42634465680681377,,,,0.8568739251150813,0.6309772463912446,0.5458406787279976,0.6831755462839838,0.7900295519846673,,0.6248230734037189,1.0,0.9735095860204747,,0.6626611558926779,0.6688836107924921,0.26815825253377706,0.9112748715294162,0.9333315506191744,,,0.8345692042173536,0.8176522933080475,0.3245488793374346,,,,0.6150932453313569,0.5100223467468381,,0.8181894461960134,0.35481559339322727,0.9903887502605874
FT%_college,,,0.2611595332596488,,,,,,,,,,,,,,,,,,,,,0.3278182848859814,,,,,,,0.5133341489858713,,,,,,,,,
FT%_nba,,,0.580254098701164,,,,,,,,,,,,,,,,,,,0.6601220864424884,0.6412833321719112,0.6678072049509637,,,,,,,1.0,,,,,,,,,
FTA_nba,0.7365783339917045,,,0.540527135545269,,,,0.40950659426835906,,,,0.7363280586612821,0.7218513560279555,0.5610048180987312,0.7590913237617076,0.7338379544687141,,0.6540499698018649,0.8176522933080475,0.7651399606710461,,,,,0.8682972877771327,0.8682763424931633,,,0.9802434750722575,1.0,,,0.5116774371673485,,0.5791857580206102,0.45255141297104023,,0.7694394635341333,0.36780054097725456,0.8410035726591598
FT_nba,0.7045195955297172,,,0.4442330176999292,,,,0.45324187982115993,,,,0.7646103052714688,0.7483891602571274,0.503922174690365,0.758823339326269,0.7712924432912955,,0.6696534507989335,0.8345692042173536,0.8031125623717588,,0.427048702832384,0.45253211121313597,,0.8301681771423322,0.8449676201436637,,,1.0,0.9802434750722575,0.3074606968298642,,,,0.6219015037427829,0.46111604861590993,,0.7585305656595908,,0.8738618999974436
FTr_college,,,,0.5668323651935153,,,,,,,0.26207363382673343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTr_nba,0.5748878448291002,0.44671148013028533,,1.0,0.5925445153667463,,,,,0.5166961534908313,0.2685122318998193,,,,,,0.2686863779607414,,,,0.655954787950923,,,,,,,,,0.540527135545269,,0.621094513401927,,0.541929223415227,,,,,,
GP,,,,,,,,,,,,,0.5254250478202971,0.6329576200173764,0.6325358039436464,,,,,,,0.40580598151306063,,,,,,,,,,,,,,,,,,
GS,,,,,,,,,,,,0.45620218252976436,0.5934693892384362,0.7188357553430205,0.7161897098077215,0.5318323111576597,,0.5024487734999851,0.7602344573112396,0.7311753810568443,,0.48036639154859295,0.4872285219689749,,0.7040583454572598,0.7122900983546738,,,0.6695804533140162,0.6737932757541486,,,0.5108221803263064,,0.49704177102679675,0.5268978229219274,,0.6746654143697399,0.4746603166955002,0.7569985765883392
HANDL,,,,,,,,,,,,,,,,,0.24701388402754282,,,,,,,,,,,,,,,,,,,,,,,
HGT,,0.40596939551671146,,,0.6790039471471907,0.7392138394945168,0.7494006945041092,,,0.6002844911102638,,,,,,,,,,,0.5741409534570269,,,,,,0.5995802014556871,0.4585914810627011,,,,,,,,,0.48589190957414863,,,
LPVERT,,,0.12440743491669587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP,,,0.14674091015221505,,,,,0.43727728709668007,0.21173981388263902,,,0.6225405137626429,0.5277510436486821,0.6352788736201671,0.6352913380161287,0.6228311335444741,,0.5549740808975885,0.878024998408889,0.8931299534424068,,0.6777994154282612,0.6980137476689282,0.317139919141099,0.746714285380012,0.7925078047157699,,,0.741588594091046,0.727474867942355,0.3000239801315179,,,,0.6753308853636616,0.6904458908239611,,0.7995635813442085,0.4008263329206917,0.8859474145094658
MP_per_game,,,,,,,,,0.26526671837710836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBPM_college,,,0.1709540196754095,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3157254926965218,,,,,,,,,
OBPM_nba,0.8448821730215978,0.514534724893292,,,,,,0.3825847806749721,,,,0.6655838715731505,0.8509684887947512,,0.8155881116818069,1.0,,0.8822864889903442,0.7900295519846673,0.7219582121145115,,0.49932995948643577,0.4795051935464876,0.21700157550938062,0.7332117242527357,0.7042922758741489,,,0.7712924432912955,0.7338379544687141,0.40371388090946675,,,,0.5108666977652757,,,0.5204939849445916,,0.8033306851609875
ORB%_college,,,,,0.6958123344521707,0.7177792012423571,0.7409508208657735,,,0.532015236016378,,,,,,,,,,,,,,,,,,,,,,0.6870433162715242,0.5584902340255938,0.6439660606205642,,,,,0.39861859634419083,
ORB%_nba,,,,0.5925445153667463,1.0,0.8104974836126984,0.9272489389131076,,,0.6653928455584018,0.2150763425848526,,,,,,,,,,0.7109622970719627,,,,,,0.6041153737140051,0.394339610025886,,,,0.8849409087398465,,0.6549985291932124,,,0.535218703665094,,,
ORB_college,,,,,0.6935900910763713,0.64882629502537,0.6965433831858406,,,,,,,,,,,,,,,,,,,,,,,,,0.6956070145088066,0.5429324107476864,0.6368858808047179,,,,,0.3452740683615571,
