Season,Team,Conf_per_game,Class_per_game,Pos_per_game,G_per_game,GS_per_game,MP_per_game,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_per_game,PlayerName_per_game,CollegeID_per_game,Conf_adv,Class_adv,Pos_adv,G_adv,GS_adv,MP_adv,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_adv,PlayerName_adv,CollegeID_adv,PlayerName,CollegeID
2011-12,Wisconsin,Big Ten,FR,C,35,0,7.7,0.7,1.6,0.411,0.3,1.0,0.286,0.4,0.6,0.619,0.5,0.2,0.4,0.5,0.6,0.8,1.4,0.3,0.1,0.4,0.3,1.0,1.8,,Frank Kaminsky,frank-kaminsky-1,Big Ten,FR,C,35,0,271,14.1,0.503,0.625,0.25,69,10.3,13.7,12.0,7.9,1.0,5.0,13.8,15.8,0.4,0.6,1.0,0.145,0.2,3.8,4.0,,Frank Kaminsky,frank-kaminsky-1,Frank Kaminsky,frank-kaminsky-1
2012-13,Wisconsin,Big Ten,SO,C,32,2,10.3,1.3,3.1,0.439,0.4,1.4,0.311,0.9,1.7,0.547,0.51,1.0,1.3,0.767,0.7,1.1,1.8,0.8,0.4,0.5,0.3,1.3,4.2,,Frank Kaminsky,frank-kaminsky-1,Big Ten,SO,C,32,2,329,25.3,0.562,0.459,0.439,132,7.3,13.5,10.2,17.6,2.8,5.2,7.1,21.3,1.3,0.8,2.1,0.252,5.5,6.5,12.0,,Frank Kaminsky,frank-kaminsky-1,Frank Kaminsky,frank-kaminsky-1
2013-14,Wisconsin,Big Ten,JR,C,38,38,27.2,5.2,9.8,0.528,1.0,2.6,0.378,4.2,7.2,0.582,0.578,2.7,3.5,0.765,2.1,4.2,6.3,1.3,0.7,1.7,1.0,2.5,13.9,,Frank Kaminsky,frank-kaminsky-1,Big Ten,JR,C,38,38,1032,29.0,0.611,0.264,0.356,508,10.0,18.4,14.3,11.4,1.6,6.1,8.3,25.5,4.2,2.0,6.2,0.241,8.0,3.8,11.8,,Frank Kaminsky,frank-kaminsky-1,Frank Kaminsky,frank-kaminsky-1
2014-15,Wisconsin,Big Ten,SR,C,39,39,33.6,6.8,12.5,0.547,1.1,2.6,0.416,5.8,9.9,0.581,0.59,4.0,5.1,0.78,1.5,6.7,8.2,2.6,0.8,1.5,1.6,1.7,18.8,"AP POY-1,WA-1,AA-1,AP-AA-1,NABC-AA-1,SN-AA-1,USBWA-AA-1,W-AA-1,NA-1",Frank Kaminsky,frank-kaminsky-1,Big Ten,SR,C,39,39,1311,34.4,0.628,0.207,0.41,691,6.0,25.7,16.1,18.4,1.7,4.5,9.8,28.6,6.9,2.9,9.8,0.299,11.2,5.0,16.2,"AP POY-1,WA-1,AA-1,AP-AA-1,NABC-AA-1,SN-AA-1,USBWA-AA-1,W-AA-1,NA-1",Frank Kaminsky,frank-kaminsky-1,Frank Kaminsky,frank-kaminsky-1
2021-22,Duke,ACC,FR,G,36,26,30.2,4.1,9.8,0.419,1.5,4.8,0.312,2.6,4.9,0.522,0.496,1.8,2.7,0.67,0.8,2.6,3.4,2.7,1.2,0.1,1.3,1.3,11.5,,Trevor Keels,trevor-keels-1,ACC,FR,G,36,26,1087,16.5,0.52,0.493,0.276,412,3.3,9.0,6.4,14.9,2.4,0.2,10.2,20.7,2.3,1.3,3.7,0.134,2.7,1.5,4.2,,Trevor Keels,trevor-keels-1,Trevor Keels,trevor-keels-1
2018-19,Oregon State,Pac-12,JR,F,31,25,23.5,3.2,4.9,0.654,0.0,0.0,,3.2,4.9,0.654,0.654,1.2,2.0,0.613,1.5,3.4,5.0,0.4,0.3,3.4,1.0,2.3,7.7,,Kylor Kelley,kylor-kelley-1,Pac-12,JR,F,31,25,728,22.4,0.652,0.0,0.405,214,8.1,16.6,12.5,3.6,0.8,16.2,14.1,15.1,1.5,1.3,2.8,0.155,1.9,3.9,5.9,,Kylor Kelley,kylor-kelley-1,Kylor Kelley,kylor-kelley-1
2019-20,Oregon State,Pac-12,SR,F,31,31,29.1,4.3,7.2,0.604,0.0,0.0,0.0,4.3,7.1,0.606,0.604,2.5,3.6,0.681,1.7,3.6,5.3,0.9,0.3,3.5,1.1,2.0,11.1,,Kylor Kelley,kylor-kelley-1,Pac-12,SR,F,31,31,903,24.1,0.626,0.005,0.509,319,7.2,14.6,11.0,6.8,0.5,13.4,10.7,18.2,2.6,1.2,3.8,0.17,3.7,2.9,6.6,,Kylor Kelley,kylor-kelley-1,Kylor Kelley,kylor-kelley-1
2011-12,Washington,Pac-12,FR,F,28,0,6.5,0.6,1.0,0.552,0.0,0.0,0.6,1.0,0.552,0.552,0.4,0.8,0.571,0.3,0.5,0.8,0.0,0.0,0.6,0.4,0.9,1.6,,Shawn Kemp,shawn-kemp-1,Pac-12,FR,F,28,0,183,9.6,0.564,0.0,0.724,39,4.7,9.0,6.7,0.0,0.3,8.6,22.0,12.9,0.1,0.2,0.3,0.064,-3.5,2.8,-0.7,,Shawn Kemp,shawn-kemp-1,Shawn Kemp,shawn-kemp-1
2012-13,Washington,Pac-12,SO,F,27,14,18.8,2.7,5.0,0.533,0.0,0.0,2.7,5.0,0.533,0.533,1.0,1.6,0.643,1.5,1.5,3.0,0.2,0.1,0.6,1.0,1.8,6.3,,Shawn Kemp,shawn-kemp-1,Pac-12,SO,F,27,14,507,14.3,0.552,0.0,0.311,157,9.2,10.6,9.9,2.1,0.2,3.2,15.3,18.4,0.8,0.3,1.1,0.087,-0.1,0.4,0.4,,Shawn Kemp,shawn-kemp-1,Shawn Kemp,shawn-kemp-1
2013-14,Washington,Pac-12,JR,F,32,10,15.4,1.9,3.4,0.555,0.0,0.0,1.9,3.4,0.555,0.555,0.6,0.9,0.714,0.6,1.1,1.8,0.1,0.2,0.2,0.5,2.7,4.4,,Shawn Kemp,shawn-kemp-1,Pac-12,JR,F,32,10,493,9.3,0.576,0.0,0.255,124,4.8,8.9,6.8,0.8,0.6,1.4,12.1,14.3,0.6,0.2,0.8,0.067,-2.7,0.0,-2.8,,Shawn Kemp,shawn-kemp-1,Shawn Kemp,shawn-kemp-1
